country,c3,year,region_wb,population,gdp,gini_std
Lithuania,LTU,2022,Europe and Central Asia,2786651,39593,37
Luxembourg,LUX,2022,Europe and Central Asia,639321,115542,32
Latvia,LVA,2022,Europe and Central Asia,1873919,32733,35
Morocco,MAR,2014,Middle East and North Africa,34248600,7462,43
Moldova,MDA,2021,Europe and Central Asia,3061506,13602,30
Madagascar,MDG,2013,Sub-Saharan Africa,23588072,1491,57
Maldives,MDV,2020,South Asia,514438,13419,44
Mexico,MEX,2022,Latin America and the Caribbean,126705144,19547,44
Marshall Islands,MHL,2020,East Asia and the Pacific,43413,5711,38
North Macedonia,MKD,2020,Europe and Central Asia,2111072,15780,34
Mali,MLI,2021,Sub-Saharan Africa,21904982,2121,39
Malta,MLT,2022,Middle East and North Africa,526748,48240,32
Myanmar,MMR,2017,East Asia and the Pacific,52288340,4313,35
Montenegro,MNE,2021,Europe and Central Asia,627859,20710,35
Mongolia,MNG,2018,East Asia and the Pacific,3163991,12052,36
Mozambique,MOZ,2020,Sub-Saharan Africa,31178238,1233,63
Mauritania,MRT,2014,Sub-Saharan Africa,3843174,5020,49
Mauritius,MUS,2017,Sub-Saharan Africa,1294741,22144,51
Malawi,MWI,2020,Sub-Saharan Africa,19377060,1490,54
Malaysia,MYS,2019,East Asia and the Pacific,32804020,27674,41
Namibia,NAM,2016,Sub-Saharan Africa,2323352,10628,62
Niger,NER,2019,Sub-Saharan Africa,23443392,1217,53
Nigeria,NGA,2019,Sub-Saharan Africa,203304480,5076,36
Nicaragua,NIC,2014,Latin America and the Caribbean,6208676,5386,50
Netherlands,NLD,2022,Europe and Central Asia,17501696,58585,26
Norway,NOR,2021,Europe and Central Asia,5403021,65909,29
Nepal,NPL,2011,South Asia,27266398,2764,47
Nauru,NRU,2013,East Asia and the Pacific,10694,9314,35
New Zealand,NZL,2020,East Asia and the Pacific,5061133,42052,33
Oman,OMN,2019,Middle East and North Africa,4602768,33814,34
Pakistan,PAK,2019,South Asia,223293280,5158,45
Panama,PAN,2022,Latin America and the Caribbean,4351267,33266,50
Peru,PER,2022,Latin America and the Caribbean,33715472,12744,43
Philippines,PHL,2021,East Asia and the Pacific,113880328,8096,41
Palau,PLW,2014,East Asia and the Pacific,17796,17111,52
Papua New Guinea,PNG,2010,East Asia and the Pacific,7583269,3284,43
Poland,POL,2022,Europe and Central Asia,38307728,36798,32
Portugal,PRT,2022,Europe and Central Asia,10290103,35746,35
Paraguay,PRY,2022,Latin America and the Caribbean,6703799,13531,48
West Bank and Gaza,PSE,2017,Middle East and North Africa,4700947,6402,45
Qatar,QAT,2013,Middle East and North Africa,2035501,109626,29
Romania,ROU,2022,Europe and Central Asia,19328560,32738,34
Russia,RUS,2020,Europe and Central Asia,145617328,26587,35
Rwanda,RWA,2017,Sub-Saharan Africa,12230339,1935,57
Saudi Arabia,SAU,2018,Middle East and North Africa,35018132,47714,44
Sudan,SDN,2014,Sub-Saharan Africa,37003248,4777,54
Senegal,SEN,2019,Sub-Saharan Africa,16000781,3430,53
Singapore,SGP,2012,East Asia and the Pacific,5381005,82887,40
Solomon Islands,SLB,2013,East Asia and the Pacific,582365,2592,39
Sierra Leone,SLE,2018,Sub-Saharan Africa,7861281,1610,51
El Salvador,SLV,2022,Latin America and the Caribbean,6314167,9398,39
San Marino,SMR,2017,Europe and Central Asia,34056,58202,25
Somalia,SOM,2016,Sub-Saharan Africa,14292847,1076,55
Serbia,SRB,2021,Europe and Central Asia,7296769,19828,29
Sao Tome and Principe,STP,2017,Sub-Saharan Africa,208036,3935,55
Suriname,SUR,2017,Latin America and the Caribbean,587559,17753,48
Slovakia,SVK,2022,Europe and Central Asia,5447622,33172,24
Slovenia,SVN,2022,Europe and Central Asia,2119410,42175,25
Sweden,SWE,2022,Europe and Central Asia,10467097,54818,32
Eswatini,SWZ,2017,Sub-Saharan Africa,1151390,8214,66
Seychelles,SYC,2019,Sub-Saharan Africa,104373,29191,32
Syria,SYR,2007,Middle East and North Africa,20703006,7416,38
Turks and Caicos Islands,TCA,1999,Latin America and the Caribbean,17984,21376,48
Chad,TCD,2019,Sub-Saharan Africa,16126866,1562,53
Togo,TGO,2019,Sub-Saharan Africa,8243094,2073,57
Thailand,THA,2021,East Asia and the Pacific,71601104,17087,38
Tajikistan,TJK,2015,Europe and Central Asia,8524063,2960,36
Turkmenistan,TKM,1998,Europe and Central Asia,4431517,3834,41
Timor-Leste,TLS,2014,East Asia and the Pacific,1184830,3198,33
Tonga,TON,2015,East Asia and the Pacific,106122,5645,37
Trinidad and Tobago,TTO,1992,Latin America and the Caribbean,1285502,10924,40
Tunisia,TUN,2016,Middle East and North Africa,11685667,10751,40
Turkiye,TUR,2021,Middle East and North Africa,84775408,31467,44
Tuvalu,TUV,2010,East Asia and the Pacific,10550,3335,41
Tanzania,TZA,2018,Sub-Saharan Africa,58090440,2511,55
Uganda,UGA,2020,Sub-Saharan Africa,44404608,2240,57
Ukraine,UKR,2020,Europe and Central Asia,43909664,12408,29
Uruguay,URY,2022,Latin America and the Caribbean,3426260,24427,41
United States,USA,2022,North America,336997632,64703,40
Uzbekistan,UZB,2003,Europe and Central Asia,25905904,3230,37
Saint Vincent and the Grenadines,VCT,2008,Latin America and the Caribbean,110316,12170,49
Venezuela,VEN,2014,Latin America and the Caribbean,30193258,22223,38
Vietnam,VNM,2020,East Asia and the Pacific,96648688,10451,38
Vanuatu,VUT,2020,East Asia and the Pacific,311685,2849,36
Samoa,WSM,2014,East Asia and the Pacific,201757,5646,41
Kosovo,XKX,2018,Europe and Central Asia,1709962,10755,43
Yemen,YEM,2014,Middle East and North Africa,27753304,4434,40
South Africa,ZAF,2017,Sub-Saharan Africa,56641212,13950,67
Zambia,ZMB,2022,Sub-Saharan Africa,19473124,3298,63
Zimbabwe,ZWE,2019,Sub-Saharan Africa,15354608,2203,62
